app,installed_app,installed_app_24,installed_app_72,similar_app,hot_app,social_app,contact,contact_default,family,grandparent,land_line_ratio,land_line_count,mobile_phone_count,no_mobile_phone_ratio,offspring,parent,risk_keyword_ratio,risk_keyword_count,siblings,spouse,target
224.0,16.0,5.0,9.0,4.0,4.0,True,375.0,0.0,3.0,0.0,0.3546666667,133.0,207.0,0.552,0.0,2.0,0.0053333333,2.0,0.0,1.0,0
280.0,39.0,3.0,3.0,9.0,7.0,True,94.0,0.0,1.0,0.0,0.4361702128,41.0,28.0,0.2978723404,0.0,0.0,0.0212765957,2.0,1.0,0.0,0
292.0,61.0,5.0,6.0,6.0,7.0,True,165.0,0.0,3.0,0.0,0.4303030303,71.0,92.0,0.5575757576,0.0,2.0,0.0242424242,4.0,1.0,0.0,0
289.0,29.0,7.0,7.0,10.0,8.0,True,141.0,0.0,2.0,1.0,0.5390070922,76.0,65.0,0.4609929078,0.0,1.0,0.0141843972,2.0,1.0,0.0,0
434.0,92.0,5.0,6.0,9.0,7.0,True,518.0,0.0,4.0,0.0,0.3359073359,174.0,299.0,0.5772200772,1.0,2.0,0.0,0.0,1.0,0.0,0
276.0,44.0,3.0,5.0,8.0,7.0,True,280.0,0.0,1.0,0.0,0.5357142857,150.0,128.0,0.4571428571,0.0,0.0,0.0357142857,10.0,1.0,0.0,0
270.0,48.0,5.0,5.0,4.0,7.0,True,574.0,0.0,3.0,1.0,0.5487804878,315.0,255.0,0.4442508711,0.0,2.0,0.0261324042,15.0,0.0,0.0,0
361.0,52.0,1.0,1.0,8.0,6.0,True,147.0,0.0,1.0,0.0,0.4897959184,72.0,58.0,0.3945578231,0.0,0.0,0.0068027211,1.0,0.0,1.0,0
365.0,134.0,5.0,10.0,25.0,6.0,True,142.0,0.0,1.0,0.0,0.4929577465,70.0,67.0,0.4718309859,0.0,1.0,0.014084507,2.0,0.0,0.0,0
279.0,25.0,3.0,4.0,7.0,8.0,True,519.0,0.0,0.0,0.0,0.5125240848,266.0,227.0,0.4373795761,0.0,0.0,0.0366088632,19.0,0.0,0.0,0
353.0,57.0,4.0,8.0,9.0,8.0,True,431.0,0.0,7.0,0.0,0.3503480278,151.0,243.0,0.5638051044,2.0,1.0,0.0116009281,5.0,2.0,2.0,0
293.0,77.0,3.0,5.0,10.0,6.0,True,215.0,0.0,2.0,0.0,0.4744186047,102.0,108.0,0.5023255814,0.0,0.0,0.0139534884,3.0,1.0,1.0,1
290.0,47.0,4.0,4.0,4.0,7.0,True,298.0,0.0,5.0,1.0,0.4865771812,145.0,148.0,0.4966442953,0.0,2.0,0.0033557047,1.0,2.0,0.0,0
,,,,,,,329.0,0.0,0.0,0.0,0.4984802432,164.0,161.0,0.4893617021,0.0,0.0,0.0060790274,2.0,0.0,0.0,0
285.0,42.0,3.0,5.0,6.0,7.0,True,923.0,0.0,1.0,0.0,0.3716143012,343.0,529.0,0.5731310943,0.0,1.0,0.0119176598,11.0,0.0,0.0,0
231.0,17.0,3.0,4.0,2.0,2.0,True,309.0,0.0,0.0,0.0,0.3203883495,99.0,195.0,0.6310679612,0.0,0.0,0.0129449838,4.0,0.0,0.0,0
283.0,74.0,4.0,4.0,7.0,6.0,True,481.0,0.0,0.0,0.0,0.4116424116,198.0,236.0,0.4906444906,0.0,0.0,0.0083160083,4.0,0.0,0.0,1
223.0,75.0,0.0,0.0,13.0,8.0,True,659.0,0.0,2.0,0.0,0.4810318665,317.0,321.0,0.4871016692,0.0,1.0,0.0182094082,12.0,1.0,0.0,0
346.0,70.0,9.0,9.0,5.0,8.0,True,161.0,0.0,1.0,0.0,0.6335403727,102.0,41.0,0.2546583851,0.0,1.0,0.0,0.0,0.0,0.0,1
235.0,53.0,0.0,7.0,4.0,8.0,True,249.0,0.0,1.0,0.0,0.5261044177,131.0,115.0,0.4618473896,0.0,1.0,0.0080321285,2.0,0.0,0.0,0
284.0,68.0,1.0,3.0,4.0,6.0,True,9.0,0.0,0.0,0.0,0.3333333333,3.0,6.0,0.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0
227.0,38.0,1.0,5.0,13.0,2.0,True,277.0,0.0,1.0,0.0,0.440433213,122.0,135.0,0.4873646209,0.0,0.0,0.0036101083,1.0,1.0,0.0,0
150.0,19.0,4.0,5.0,4.0,5.0,True,717.0,0.0,3.0,0.0,0.5062761506,363.0,328.0,0.4574616457,0.0,1.0,0.0418410042,30.0,2.0,0.0,0
291.0,42.0,2.0,3.0,4.0,8.0,True,922.0,0.0,1.0,0.0,0.5195227766,479.0,424.0,0.4598698482,0.0,1.0,0.0032537961,3.0,0.0,0.0,0
